team,squad_size,num_in_top5,pct_in_top5,fifa_ranking,stage_reached,group_stage_points,goal_differential
Argentina,26,22,0.846,3,6,6,7
France,25,25,1.000,4,5,6,8
Morocco,26,14,0.538,22,4,7,1
Croatia,26,15,0.577,12,4,5,1
Netherlands,26,11,0.423,8,3,7,6
England,26,26,1.000,5,3,7,9
Brazil,26,22,0.846,1,3,6,5
Portugal,26,18,0.692,9,3,6,6
Australia,26,2,0.077,38,2,6,-2
Japan,26,13,0.500,24,2,6,1
South Korea,26,6,0.231,28,2,4,-3
Senegal,26,17,0.654,18,2,6,-2
Spain,26,26,1.000,7,2,4,6
Switzerland,26,17,0.654,15,2,6,-4
USA,26,13,0.500,16,2,5,-1
Poland,26,16,0.615,26,2,4,-2
Ecuador,26,7,0.269,44,1,4,1
Denmark,26,20,0.769,10,1,1,-2
Cameroon,26,10,0.385,43,1,4,0
Serbia,26,19,0.731,21,1,1,-3
Ghana,26,13,0.500,61,1,3,-2
Tunisia,26,4,0.154,30,1,4,0
Mexico,26,4,0.154,13,1,4,-1
Uruguay,26,10,0.385,14,1,4,0
Canada,26,3,0.115,41,1,0,-5
Costa Rica,26,1,0.038,31,1,3,-8
Belgium,26,19,0.731,2,1,4,-1
Germany,26,26,1.000,11,1,4,1
Qatar,26,0,0.000,50,1,0,-6
Saudi Arabia,26,0,0.000,51,1,3,-2
Wales,26,12,0.462,19,1,1,-5
Iran,25,2,0.080,20,1,3,-3
