team,squad_size,num_in_top5,pct_in_top5,fifa_ranking,group_id
Canada,26,5,0.192,30,B
Mexico,26,4,0.154,15,A
USA,26,13,0.500,16,D
Algeria,27,9,0.333,28,J
Argentina,26,17,0.654,3,J
Australia,26,3,0.115,27,D
Austria,28,18,0.643,24,J
Belgium,26,16,0.615,9,G
Bosnia-Herzegovina,24,6,0.250,65,B
Brazil,26,12,0.462,6,C
Cabo_Verde,26,0,0.000,69,H
Colombia,26,8,0.308,13,K
Congo_DR,26,9,0.346,46,K
Croatia,26,14,0.538,11,L
Curacao,26,0,0.000,82,E
Czechia,25,9,0.360,41,A
Cote_d'Ivoire,26,13,0.500,34,E
Ecuador,29,6,0.207,23,E
Egypt,26,3,0.115,29,G
England,35,35,1.000,4,L
France,26,24,0.923,1,I
Germany,26,24,0.923,10,E
Ghana,25,8,0.320,74,L
Haiti,25,3,0.120,83,C
Iran,35,0,0.000,21,G
Iraq,26,0,0.000,57,I
Japan,26,12,0.462,18,F
Jordan,26,0,0.000,63,J
South_Korea,26,11,0.423,25,A
Morocco,28,14,0.500,8,C
Netherlands,25,18,0.720,7,F
New_Zealand,26,0,0.000,85,G
Norway,24,15,0.625,31,I
Panama,23,0,0.000,33,L
Paraguay,26,4,0.154,40,D
Portugal,26,15,0.577,5,K
Qatar,31,0,0.000,55,B
Saudi_Arabia,31,0,0.000,61,H
Scotland,26,11,0.423,43,C
Senegal,28,22,0.786,14,I
South_Africa,23,1,0.043,60,A
Spain,26,26,1.000,2,H
Sweden,26,14,0.538,38,F
Switzerland,24,18,0.750,19,B
Tunisia,30,4,0.133,44,F
Turkiye,30,9,0.300,22,D
Uruguay,28,7,0.250,17,H
Uzbekistan,26,1,0.038,50,K
